id,date,calories
2320127002,5/10/2016,1899
2873212765,5/10/2016,1962
3977333714,5/10/2016,1630
4020332650,5/10/2016,2926
4319703577,5/10/2016,2260
4388161847,5/10/2016,3061
4445114986,5/10/2016,2181
4558609924,5/10/2016,1889
4702921684,5/10/2016,3172
5553957443,5/10/2016,2335
5577150313,5/10/2016,3841
6290855005,5/10/2016,0
6962181067,5/10/2016,2361
7086361926,5/10/2016,2800
8053475328,5/10/2016,2926
8378563200,5/10/2016,3586
8583815059,5/10/2016,2846
8792009665,5/10/2016,57
8877689391,5/10/2016,2832
1503960366,5/11/2016,1783
1624580081,5/11/2016,1359
1644430081,5/11/2016,1276
1844505072,5/11/2016,1347
1927972279,5/11/2016,2063
2022484408,5/11/2016,2544
2026352035,5/11/2016,1698
2320127002,5/11/2016,1903
2873212765,5/11/2016,1826
3977333714,5/11/2016,52
4020332650,5/11/2016,2645
4319703577,5/11/2016,2232
4388161847,5/11/2016,2954
4445114986,5/11/2016,2499
4558609924,5/11/2016,2131
4702921684,5/11/2016,3069
5553957443,5/11/2016,1693
5577150313,5/11/2016,1665
6962181067,5/11/2016,1855
7086361926,5/11/2016,2735
8053475328,5/11/2016,2809
8378563200,5/11/2016,3788
8583815059,5/11/2016,2804
8877689391,5/11/2016,3832
1503960366,5/12/2016,0
1624580081,5/12/2016,1002
1844505072,5/12/2016,665
1927972279,5/12/2016,1383
2022484408,5/12/2016,1853
2026352035,5/12/2016,1364
2320127002,5/12/2016,1125
2873212765,5/12/2016,1431
4020332650,5/12/2016,1120
4319703577,5/12/2016,257
4388161847,5/12/2016,1623
