id,date,step_total
3977333714,5/3/2016,14335
4020332650,5/3/2016,4496
4319703577,5/3/2016,9648
4388161847,5/3/2016,12727
4445114986,5/3/2016,7502
4558609924,5/3/2016,5267
4702921684,5/3/2016,9454
5553957443,5/3/2016,12848
5577150313,5/3/2016,11045
6117666160,5/3/2016,0
6290855005,5/3/2016,6047
6775888955,5/3/2016,9
6962181067,5/3/2016,12109
7007744171,5/3/2016,14510
7086361926,5/3/2016,10288
8053475328,5/3/2016,15484
8378563200,5/3/2016,8712
8583815059,5/3/2016,12015
8792009665,5/3/2016,2421
8877689391,5/3/2016,10818
1503960366,5/4/2016,11100
1624580081,5/4/2016,2193
1644430081,5/4/2016,2309
1844505072,5/4/2016,2080
1927972279,5/4/2016,1786
2022484408,5/4/2016,11768
2026352035,5/4/2016,6564
2320127002,5/4/2016,1201
2873212765,5/4/2016,8278
3977333714,5/4/2016,13559
4020332650,5/4/2016,10252
4319703577,5/4/2016,10429
4388161847,5/4/2016,12375
4445114986,5/4/2016,2923
4558609924,5/4/2016,5232
4702921684,5/4/2016,8161
5553957443,5/4/2016,4249
5577150313,5/4/2016,5206
6117666160,5/4/2016,2997
6290855005,5/4/2016,5832
6775888955,5/4/2016,0
6962181067,5/4/2016,10147
7007744171,5/4/2016,0
7086361926,5/4/2016,10988
8053475328,5/4/2016,14581
8378563200,5/4/2016,7875
8583815059,5/4/2016,3588
8792009665,5/4/2016,2283
8877689391,5/4/2016,18193
1503960366,5/5/2016,14070
1624580081,5/5/2016,2470
1644430081,5/5/2016,4363
1844505072,5/5/2016,2237
1927972279,5/5/2016,0
2022484408,5/5/2016,11895
2026352035,5/5/2016,12167
2320127002,5/5/2016,5202
2873212765,5/5/2016,8314
3977333714,5/5/2016,12312
4020332650,5/5/2016,11728
4319703577,5/5/2016,13658
4388161847,5/5/2016,9603
4445114986,5/5/2016,3800
4558609924,5/5/2016,10611
4702921684,5/5/2016,8614
5553957443,5/5/2016,14331
5577150313,5/5/2016,7550
6117666160,5/5/2016,9799
6290855005,5/5/2016,6339
6775888955,5/5/2016,0
6962181067,5/5/2016,10524
7007744171,5/5/2016,15010
7086361926,5/5/2016,8564
8053475328,5/5/2016,14990
8378563200,5/5/2016,8567
8583815059,5/5/2016,12427
8792009665,5/5/2016,0
8877689391,5/5/2016,14055
1503960366,5/6/2016,12159
1624580081,5/6/2016,1727
1644430081,5/6/2016,9787
1844505072,5/6/2016,44
1927972279,5/6/2016,2091
2022484408,5/6/2016,10227
2026352035,5/6/2016,8198
2320127002,5/6/2016,4878
2873212765,5/6/2016,7063
3977333714,5/6/2016,11677
4020332650,5/6/2016,4369
4319703577,5/6/2016,9524
4388161847,5/6/2016,13175
4445114986,5/6/2016,4514
